judul,isi_laporan,info,link,impact,urgency,prioritas
Pengaduan Dugaan Pencemaran Udara Akibat Aktivitas Pembakaran Di Area Permukiman,"Kepada yth.
dinas lingkungan hidup kota bandung

dengan hormat,

saya selaku warga melaporkan adanya dugaan pencemaran udara yang terjadi secara rutin di lingkungan permukiman padat penduduk, tepatnya di lokasi: area leuwi sari v, leuwi sari vi, gang al huda

kronologi kejadian:
dalam beberapa tahun ini, terdapat aktivitas pembakaran dari cerobong (diduga milik pabrik/home industry) yang menghasilkan asap cukup tebal dan terjadi hampir setiap hari di pagi hari (mulai dari jam 7 pagi hingga siang hari)

asap tersebut:
* menyebar ke area rumah warga
* menimbulkan bau asap yang tidak enak dihirup
* mengganggu kenyamanan dan aktivitas sehari-hari
* berpotensi berdampak pada kesehatan warga (terutama anak-anak dan lansia)

kami selaku warga telah menyampaikan teguran melalui ketua rt setempat
namun hingga saat ini:
* tidak terdapat perubahan atau tindak lanjut dari pihak terkait
* aktivitas pembakaran masih terus berlangsung

dengan ini kami memohon kepada dinas lingkungan hidup untuk:
1. melakukan peninjauan dan pemeriksaan langsung ke lokasi
2. memastikan apakah kegiatan tersebut telah memenuhi ketentuan lingkungan hidup dan standar emisi
3. memberikan tindakan tegas apabila terbukti terjadi pelanggaran
4. menghentikan aktivitas yang menimbulkan pencemaran dan merugikan warga

kami berharap laporan ini dapat segera ditindaklanjuti demi menjaga kesehatan dan kenyamanan lingkungan tempat tinggal kami.
kami juga lampirkan google map potensi lokasi dan gambar cerobongnya.
atas perhatian dan tindak lanjutnya, kami ucapkan terima kasih.","  SENIN, 2026/04/06 |   PENCEMARAN LINGKUNGAN |   LAPORAN 5 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pengaduan-dugaan-pencemaran-udara-akibat-aktivitas-pembakaran-di-area-permukiman-202604061428091775460489647,2,2,4
"Reklame Tidak Bayar Pajak, Mengganggu Ketertiban Umum Dan Belum Berizin","Telah terjadi pelanggaran hukum dimana pelanggaran tersebut diduga melanggar: 1. Undang-undang nomor 28 tahun 2009 tentang pajak daerah dan retribusi daerah, 2. Peraturan daerah kota bandung nomor 20 tahun 2011 tentang pajak daerah, sebagaimana diubah dengan peraturan daerah kota bandung nomor 06 tahun 2016 tentang perubahan atas peraturan daerah kota bandung nomor 20 tahun 2011 tentang pajak daerah; 3. Peraturan walikota bandung nomor 1405 tahun 2016 tentang kedudukan, susunan organisasi, tugas dan fungsi serta tata kerja badan pengelolaan pendapatan daerah kota bandung. Dengan ini saya melaporkan bahwa telah terbukti dan secara terang terangan pelanggaran yang dilakukan oleh pemilik klinik pratama razkiah derma aesthetic yang beralamat di jalan jend. H. Amir machmud no.288, sukaraja, kec. Cicendo, kota bandung, jawa barat 40175 bahwasannya klinik tersebut memasang reklame jenis billboard yang belum membayar pajak dan juga belum memiliki ijin resmi dari dinas terkait, sebagai warga kota bandung yang memiliki kepedulian akan keberlangsungan tata kelola pemerintahan kota yang baik, saya sebagai warga merasa resah dan terganggu karena adanya aktivitas yang meresahkan dilokasi klinik tersebut. Mohon ditindak dengan tegas oleh aparat pemerintah kota bandung, bukti bukti terlampir. Terimakasih",KETERTIBAN UMUM |   LAPORAN 5 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/reklame-tidak-bayar-pajak-mengganggu-ketertiban-umum-dan-belum-berizin-202602030837011770082621164,2,1,2
Permohonan Motor Sampah Triseda,Assalamualaikum . saya sudah mengajukan sudah 8 bulan . tapi belum ada tanggapan. sedangkan motor teiseda sudah tidak layak .dan 2 kali motor sampah triseda kebakaran di jalan raya. kami selaku ketua rw05 kelurahan babakan penghulu. memohon imgin menggantikan triseda lama dengan yang layak pakai terima kasih. kami mohon ke pada bapak walikota sekiranya bisa. di tamggapai,TOPIK LAINNYA |   LAPORAN 8 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/permohonan-motor-sampah-triseda-202510311022071761880927656,3,3,9
Pengajuan Pencabutan Aset Reklame,"Saya sebagai pemilik lahan di [jl. cihampelas no 207. rt. 01, rw. 02. kelurahan cipaganti. kecamatan coblong. kota bandung] mengajukan permohonan pembongkaran reklame/billboard yang terpasang di lahan saya.
kontrak kerja sama pemasangan sudah habis per tanggal [tanggal kontrak habis], dan pemilik lahan tidak memperpanjang kontrak.
billboard tersebut kini mengganggu aktivitas dan harus segera dibongkar.
mohon tindak lanjut dari dinas terkait agar reklame dapat segera dicabut sesuai ketentuan.","  SENIN, 2025/11/17 |   KETERTIBAN UMUM |   LAPORAN 19 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pengajuan-pencabutan-aset-reklame-202511171305051763359505682,1,1,1
Penertiban Peningkatan Keamanan Lingkungan Trotoar,"Yang terhormat, bpk ibu instansi pemerintah,

assalamualaikum wr. wb. izinkan saya menceritakan kronologi kejadian yang menimpa keluarga saya di bandung. pada hari minggu tanggal 17-18 agustus 2025, saya menerima kabar kondisi lingkungan dari rumah orang tua saya yang tinggal di jl. jend. sudirman 594 bandung yang sudah tidak aman dan tertib.

pada tanggal 17 agustus 2025 anggota keluarga saya melihat di samping kiri depan rumah, di atas trotoar tepatnya di samping dominos pizza sudirman suite apartment, ada gerobak kaki lima yang sepertinya sudah ditinggal pemiliknya.

pada saat itu ditemukan berbagai sampah, kotoran binatang sampai botol minuman keras. lalu anggota keluarga saya berinisiatif untuk membersihkannya. keesokan harinya, terjadi perkelahian preman di depan dominos pizza tersebut. beruntung kali ini kami bisa mendokumentasikannya. hal tersebut adalah satu dari berbagai kejadian yang sering terjadi di lingkungan tersebut, hanya saja tidak terdokumentasikan dengan baik.

kondisi tersebut sebetulnya mulai terjadi sejak bentuk trotoar di bandung itu berubah desainnya menjadi landai dan ketika itu dominos pizza baru buka cabang di apartemen sudirman tersebut. hal yang menjadi masalah adalah munculnya preman parkir liar, dan terjadi vandalisme pot tanaman trotoar milik pemda. saya yakin pot tanaman tersebut yang menjadi korban oknum masyarakat yang tidak bertanggung jawab itu sebetulnya berfungsi untuk melindungi spot spot penting seperti tiang listrik gardu telfon dan lampu lalu lintas. ketika pot tersebut dirusak sampai hilang, berdampak pada terbukanya spot tersebut. sehingga spot tersebut memancing oknum masyarakat untuk menyalah gunakannya.

tidak jauh dari lokasi tersebut ada sudirman ballroom. yang kadang ketika ada event tertentu di tempat tersebut bisa memicu parkir liar di sepanjang tepi jalan sampai di depan dominos pizza apartemen sudirman. pintu akses rumah orang tua saya sudah dipastikan terganggu. pernah ketika ada anggota keluarga kami yang meninggal, kami harus berurusan dengan preman parkir liar tersebut, seolah mereka pihak penguasa setempat, sedangkan keluarga kami yang sudah lama tinggal dan membayar pajak mereka tidak perduli. berbagai usaha dan komunikasi di tingkat rt-rw sudah dilakukan, hanya saja belum ada dampak yang jelas.

mohon kiranya untuk bisa menjadi perhatian dan pembenahan oleh bapak ibu sekalian, berikut dengan ini saya lampirkan juga foto dokumentasinya. saya ucapkan terimakasih, mohon maaf apabila ada kesalah ucap. wassalam.",KETERTIBAN UMUM |   LAPORAN 2 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/penertiban-peningkatan-keamanan-lingkungan-trotoar-202508201213111755666791597,3,3,9
"Kondisi Buruk Saluran Air/Drainase Di Jl. Ibrahim Adjie, Bandung","Saya ingin melaporkan kondisi saluran air/drainase yang sangat buruk di sepanjang jl. ibrahim adjie, mulai dari area samsat soekarno hatta hingga ke arah margasari, kota bandung.

dimulai dari sekitar samsat soetta/tenth avenue, saluran air mulai tampak menyempit dan dangkal, bahkan di seberang pintu masuk samping tenth avenue, saluran air rata dengan permukaan jalan, sehingga tidak berfungsi menampung air hujan dengan baik.

selain itu, di beberapa titik saluran tertutup oleh pedagang dan kios yang berdiri di atas saluran air, memperparah aliran air saat hujan. akibatnya, air sering menggenang di badan jalan dan berpotensi menyebabkan kerusakan jalan maupun banjir lokal.

tidak hanya itu, terdapat juga beberapa tiang listrik dan internet yang berdiri menempel langsung pada jalur drainase, menghambat potensi perbaikan atau normalisasi.

saat ini, saya melihat bahwa program normalisasi drainase sangat gencar dilakukan di berbagai kota dan desa di jawa barat, namun kenapa justru di kota bandung—khususnya di area ini—belum ada tindak lanjut atau perbaikan yang nyata?

saya berharap dinas pekerjaan umum / dsdabm kota bandung dapat segera melakukan survei dan penanganan di lokasi tersebut agar tidak terjadi genangan dan memperbaiki sistem drainase yang sudah tidak berfungsi.

terima kasih atas perhatian dan tindak lanjutnya.",DRAINASE (GORONG-GORONG/PARIT) |   LAPORAN 2 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/kondisi-buruk-saluran-air-drainase-di-jl-ibrahim-adjie-bandung-202510312110001761919800345,3,2,6
Pengajuan KK tidak selesai-selesai,Pelayanannya pekerjaannya sangat buruk di note apk salaman katanya pengerjaan pembuatan KK BARU hanya membutuhkan waktu 3hari tapi saya sudah mau 2minggu belom jadi juga. Tolong lebih diperbaiki pelayanan dan pekerjaannya. Terimakasih,,https://www.lapor.go.id/laporan/detil/pengajuan-kk-tidak-selesai-selesai-202603170955351773716135482,1,1,1
Jalan Berlubang,"Kepada yth. dinas pekerjaan umum dan penataan ruang, kota bandung, jawa barat
hal : permohonan perbaikan jalan berlubang

dengan hormat,
sehubungan dengan kondisi jalan yang berlubang sehingga dapat membahayakan keselamatan pengguna jalan, tepatnya di jl. i, lb. siliwangi, kecamatan coblong, kota bandung, jawa barat. dengan ini kami izin meneruskan perihal laporan dari masyarakat yang melapor kepada kami terkait jalan berlubang sehingga dapat membahayakan keselamatan pengguna jalan. besar harapan kami bapak/ibu pihak terkait dapat menindaklanjuti permohonan tersebut. berikut nomer tiket yang ada pada aplikasi jalan kita 2.0 :
sk00009590
link : https://jalankita.binamarga.pu.go.id/jalan-provinsi/rincian-laporan-cc/9590

demikian permohonan ini kami buat, atas bantuan dan kerjasamanya kami ucapkan terima kasih.

salam hormat,
command center bina marga
whatsapp center : 0822-8885-8884
admin yang bertugas : im","  SABTU, 2025/02/15 |   JALAN BERLUBANG |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/jalan-berlubang-202512110052311765389151674,3,3,9
Jalan Rusak Serta Minimnya Penerangan Jalan Ketika Malam Hari,Sudah beberapa bulan saya lewat jalan yang bermula dari segitiga pasar astana anyar sampai hotel grand tulip jalannya hancur parah! titik terparah ada di link gmaps ini https://maps.app.goo.gl/dgapembyaffl1jfp7 ini kantor kecamatan yang berjarak 200 meter gak pernah ngecek gitu ? camatnya kerja apa ? dikantor terus tanpa melihat sekitarnya ? atau harus nunggu laporan dari masyarakat baru bekerja ? memang fungsi camat itu menjadi kordinator dan fasilitator tapi seenggaknya peduli dengan lingkungan sekitarnya apalagi jarak dari kantor camat dibawah 500 meter mau sampai kapan diperbaiki jalan ini? sampai ada yang laka lantas dulu ? saya sebagai warga negara berhak protes karena setiap hari saya lewat jalan itu. saya bayar pajak motor tanpa pernah kelewat tapi pemerintah nya acuh!!!! coba tindak lanjutin jangan nunggu viral atau celaka dulu,"  JUMAT, 2025/12/12 |   INFRASTRUKTUR JALAN |   LAPORAN 1 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/jalan-rusak-serta-minimnya-penerangan-jalan-ketika-malam-hari-202512050905031764900303878,3,3,9
Progress Pengaduan #9701611,"Follow up progress pengaduan sebelumnya dgn nomor 9701611 tgl 24/11/2025, tentang arogansi usaha kolam pemancingan ikan. terimakasih banyak sebelumnya atas respon bapak/ibu yg cepat atas pengaduan kami ke pihak pemancingan tsb, tapi tolonglah bapak/ibu mereka hanya berubah 1 bulan saja mengecilkan volume toa-nya, setelah itu mereka kumat kembali. emang mereka siapa sampai tidak ada peraturan / badan yg bisa mengatur mereka, katanya krn pemiliknya adalah polisi. kalau benar pemiliknya polisi, apakah kami harus takut (sampai petugas rt/rw/satpam memilih diam krn takut diapa2in alasannya) pdhl kita cuma minta mereka bijaksana volume toa-nya dipelanin & konsisten, apa mereka yg di dalam budeg parah semua, kami yg di luar area pemancingan saja keributan. tapi mungkin benar kata orang2 di dalam sana mereka berjudi, jadi tidak heran mentalnya dablek. setiap ojol / tamu yg lewat jg sering nanya itu tempat apaan? mrk kira itu samsat tapi koq samsat pakai teriakan2 kencang, sebegitunya loh bapak/ibu komentar orang2 yg bukan penduduk juga. kasihan sekali lihat ada ibu2 yang sering teriakin mereka kecilkan volume tapi tidak digubris, ditelpon tidak diangkat, kadang sampai harus lempar batu ke dinding seng mereka supaya ditanggapi & akhirnya berpikir ya sudah sama2 saling bikin keributan saja, tapi kan bukan seperti ini yang kita harapkan. malah ada yg kasih ide lempar racun saja ke kolam ikan mereka, sampai segitunya saking sudah stress setiap hari terganggu suara toa & mesin pompa air mrk yg desibelnya bikin pusing jg kalau didengar kelamaan (di pabrik saja ada aturan desibel suara & jangka waktu paparan suaranya supaya pekerja di dalamnya tidak pusing & stress), tapi tidak mungkin kami melakukan ini yg ada malah dipidanakan, tapi pakai jalur benar & baik2, tidak digubris jg. bapak/ibu percayalah, ntah apa urgensi mereka sampai suara adzan masih bunyipun teriakan hitungan score mereka tetap jalan.. dasar penjudi emang akal sehatnya sudah hilang. emang 5 menit saja diam ketika suara adzan masih bunyi bakal bikin mereka bangkrut & mati kah? sbg info kadang mereka mulai dari jam 15.00 makin malam suaranya bukannya makin pelan, tapi toanya makin intens & kencang krn lombanya sudah mau finish jadi scorenya tiap menit harus diinfokan kencang ditambah lagi dengan teriakan2 ""panik"" para pemancingnya.. gila asli mau jam 9 malam kami masih mendengar suara sebegitu ributnya di area pemukiman penduduk yang tadinya kita beli rumah di sekitar situ karena tenang sebelum mereka datang, di negara lain pasti sudah kena sanksi hukum krn mengganggu ketertiban umum. bapak/ibu apakah tempat pemancingan ikan di tempat lain seperti ini? menurut orang2 yang tau, malah pemancingan ikan biasanya jauh dari pemukiman penduduk, tenang, tidak ada teriakan2 score kencang norak begitu. mungkin pemancingan yg ini pengen beda, tapi mereka abai kalau mereka bersebelahan langsung dengan perumahan penduduk, jatuhnya jadi semena2 ke penduduk sekitar, milik polisi pula jadi merasa semakin superior, dan kita juga percuma kalau mau lapor polisi. di luaran sana suara pengajian dari mesjid saja masih ada yg protes jika kekencangan, masa polusi suara dari sebuah usaha profit (malah banyak yg sebut perjudian) bisa semena2 hanya krn kita ditakut2i itu milik polisi, jauh masih mending mendengar suara pengajian. mohon sekali lagi bantuannya bapak/ibu bisa ditertibkan kearoganan mereka, bagaimana caranya supaya mereka commit & konsisten menjaga ketertiban umum. sangat berharap poin2 di bawah ini bisa diakomodir oleh mereka : 1. pompa air yg bervolume kencang dinyalakan 1 jam sebelum mereka open, tidak dari pagi, kami pusing mendengarnya sepanjang hari. 2. volume toa dikecilkan, frekwensi pengumuman score mereka jangan terlalu sering, suka tiba2 mengejutkan krn dari diam tiba2 langsung teriak kencang. 3. pada saat adzan masih berkumandang harus benar2 diam sampai adzan benar2 selesai. 4. tutup operasi kalau bisa jam 8 malam. jika mereka menolak menurunkan volume suara, ya berarti mereka harus meninggikan tembok mereka/tertutup semua sekalian (indoor), jangan cuma pakai dinding seng rendah, supaya tidak mengganggu ketertiban umum, jangan egois mau seenak mereka saja, mentang2 milik polisi (jika benar), padahal justru polisi harusnya paling paham menjaga ketertiban umum. terimakasih banyak sebelumnya & respect yang setinggi2nya buat bapak/ibu atas perhatiannya. kolam pemancingan : new kawaluyaan sekawan jl. kawaluyaan indah i jatisari bandung no kontak mereka 082141001988",KETERTIBAN UMUM |   LAPORAN 22 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/progress-pengaduan-9701611-202601291049321769658572777,2,2,4
Pencetakan Ktp Ulang,"Pencetakan ktp dikarnakan alamat tertera terdapat kesalahan di penulisan rw. harusnya rw.08 tapi di ktp rw.013

kabupaten / kota : kota bandung
kecamatan : lengkong
kelurahan : lingkar selatan
detail lokasi kejadian : jl.bintara no.2 blok c

nama instansi : dinas kependudukan dan pencatatan sipil
pemda penanggungjawab : kota bandung","  SABTU, 2026/04/18 |   ADMINISTRASI KEPENDUDUKAN DAN PENCATATAN SIPIL |   LAPORAN 5 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pencetakan-ktp-ulang-202604231028551776914935675,1,1,1
Jalur Hijau Di Belakang Rumah Mekar Pesona 1,"Nama lengkap : victor dr sp m
no. kontak : 08123536768
email : victorfkua96@gmail.com

lahan hijau di belakang rumah (yang ada saluran air) akan dibangun oleh warga di kampung belakang perumahan. akses jalan dari sekolah kalam kudus mekar wangi sudah didirikan bangunan permanen/semi permanen di satu sisi jalan. sekarang mulai dibangun lagi persis dibelakang rumah warga mekar pesona 1, adanya banguna ini menimbulkan kekhawatiran yakni akan mengganggu lahan hijau dan serapan air, kemungkinan menimbulkan gangguan kebisingan (karena bangunan yg sudah ada saat ini seringkali bising dengan bongkar muat barang, musik dari pangkalan ojek hingga jam 11 malam bahkan dini hari), adanya bangunan ini juga akan menyulitkan kalau nantinya warga perumahan akan melakukan perbaikan/renovasi bila memerlukan pemasangan scaffolding.

kabupaten / kota : kota bandung
kecamatan : bojongloa kidul
kelurahan : cibaduyut
detail lokasi kejadian : belakang komplek mekar pesona,mekar wangi cubaduyu

nama instansi : dinas perumahan dan permukiman
pemda penanggungjawab : kota bandung","  SELASA, 2026/04/14 |   LAINNYA TERKAIT KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT |   LAPORAN 5 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/jalur-hijau-di-belakang-rumah-mekar-pesona-1-202604271447011777276021080,2,2,4
Perbaikan Jalan Rusak,Kemarin saya sudah melaporkan jalan rusak di jl caringin no 114. terima kasih sudah diperbaiki. mohon diperbaiki juga jl caringin no 112 (dekat dpkp3/dinas perumahan dan kawasan pemukiman kota bandung). dikarenakan di situ sering terjadi kecelakaan. untuk lebih jelasnya sudah saya lampirkan foto jalannya,"  SABTU, 2026/02/07 |   INFRASTRUKTUR JALAN |   LAPORAN 7 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/perbaikan-jalan-rusak-202602070832271770427947914,3,3,9
"Ijin / Pbg Bangunan 4 (Empat) Lantai, Kami Keberatan, Tapi Tidak Diresponse Pihak Terkait Saat Ini Sudah Berdiri 3 Lantai? Mengapa?","Dengan hormat, kami salah satu warga di sekitar jl.sarijadi raya no.58 atau dekat sekitaran yamaha sarijadi , dengan ini mengadukan beberapa kendala, dengan melihat progress pembangungan gedung yang konon katanya akan dibangun 4 (empat) lantai. sementara kami warga tidak pernah merasa diminta ijin oleh pihak pengontrak maupun pemilik gedung yang akan dibangun. bagaimana mungkin? akan terbayang jika gedung tersebut jadi, 1.bagaimana cahaya matahari rumah kami? 2.lingkungan yang nyaman dan sudah cukup padat,berdempet dempetan, ditambah tiba tiba ada gedung 4 lantai muncul? dimana etika dan estetika nya? 3.pepohonan didareah kami terus berkurang, dan jika hujan besar , di jl.sarijadi raya selalu banjir dari selokan dan banyak batuan2 kecil dn sampah menggenangi jalan, baik dari lingkungan sekitar maupun banjir bawaan dari arah atas jl.sarijadi atas 4.belum lagi , kami dengar sepintas yang kerja di pekerjaan proyek tersebut hampir semua adalah pendatang dari daerah tertentu, dan tidak ada etika sopan santun ke warga , baik saat melintas maupun yang tiba tiba lokasi depan proyek jadi area tongkrongan pekerja proyek saat iistirahat, dan sangat berisik dengan bahasa logat mereka. 5.bahkan kami dengar dari beberapa sumber, mereka selain di bedeng proyek , juga menginap dengan mengontrak rumah warga sekitar, dan memaksakan over capacity, contoh rumah kontrakan dengan 6 orang , dipaksakan tinggal sampai 10 dan 15 orang. dan konon kata pengurus setempat pernah berselisih dengan warga asli. tolong di razia semua tempat kontrakan dan kos an wilayah cilandak, dangdeur sarijadi apalagi sekitar proyek, yang ngontrak tidak punya etika dan sopan santun ke tetangga/warga asli. yang punya kontrakan tinggal entah dimana hanya mementingkan uang, di komplain sama nya. 6.akhir kata kami hanya peduli kenyamanan dan ke amanan lingkungan kami, kenapa gedung itu di beri ijin sampai dengan 4 (empat) lantai, dan kami warga sekitar tidak merasa ada atau kami semua tidak pernah diminta persetujuan tetangga saat sebelum pembangunan. ada apa? dengan aparat perijinan terkait? sembunyi2? saat pengajuan pengurusan ijin bangunan? demikian laporan ini kami sampaikan, dan demi kenyamanan dan keamanan kami dan keluarga besar kami, untuk saat ini kami minta data kami di rahasiakan. mengingat arogansi pekerja proyek baik mandor dan pemimpin sampai dengan kelas tukang semua tidak memiliki sopan santun dengan lingkungan sekitar. terima kasih. hormat kami, mrs.xxxx mewakili beberapa warga berdampingan lokasi (kurang lebih ada 12 kk)",APLIKASI PERIZINAN |   LAPORAN 1 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/ijin-pbg-bangunan-4-empat-lantai-kami-keberatan-tapi-tidak-diresponse-pihak-terkait-saat-ini-sudah-berdiri-3-lantai-mengapa--202602241254491771912489246,2,2,4
Dugaan Malpraktek Pijat Bayi Dan Pelanggaran Administratif Kependudukan,"Mohon diperiksa dan ditindaklanjuti : 1. praktek bidan pijat bayi di jl. bougenville ii no.2 kel . gempol sari kec. bandung kulon diduga ilegal karena tidak memiliki surat izin praktek. untuk bisnis kesehatan bayi termasuk bisnis berisiko tinggi sehingga wajib dilengkapi dengan izin praktek. jika tidak , maka bisa dikategorikan sebagai mal praktek 2. bidan tersebut tidak tertib administrasi kependudukan: - tidak lapor rt setempat saat pindah ke bandung dari jakarta 6 bulan lalu - ktp masih jakarta dan kk juga masih jakarta - tidak membayar iuran kesehatan dan keamanan selama 6 bulan lebih kepada pengurus rt - tidak bersosialisasi dengan tetangga sekitar individualis dan bersikap tidak sopan - banyak melakukan pengaduan yang tidak sesuai dengan fakta, padahal kenyataannnya dia bermasalah juga secara izin usaha dan administratif kependudukan. - tidak menghargai pengurus rw dan sekretaris rw karena seringkali melakukan eskalasi masalah pribadi ke kelurahan gempol sari bandung kulon 3. mohon bantuan penertiban usaha bidan tersebut dan peneguran secara keras agar ybs mendapat efek jera. demikian disampaikan. terima kasih","  MINGGU, 2025/12/28 |   KETERTIBAN UMUM |   LAPORAN 5 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/dugaan-malpraktek-pijat-bayi-dan-pelanggaran-administratif-kependudukan-202512231547081766479628397,2,1,2
Jalan Ahmad Yani Bandung,"Sepanjang jalan ahmad yani bandung jalan sudah banyak berlubang dan banyak tambalan tidak rata membahayakan pengguna jalan ditambah dan pedagang nakal,parkir liar, dan angkot yang stem dibadan jalan membuat arus lalulintas jadi sering tersendat bahkan apabila banjir pasti ada genangan bau sampah terlihat jorok dan kumuh untuk bandung kota.",INFRASTRUKTUR JALAN |   LAPORAN 1 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/jalan-ahmad-yani-bandung-202602131110341770955834816,3,3,9
Pengaduan Homeless,"Kepada pemerintah kota bandung, kepada dinas sosial kota bandung,

saya sudah beberapa minggu terakhir sering jalan melewati jalan merdeka, dan beberapa hari terakhir di jembatan penyeberangan orang (jpo) timurnya balai kota bandung/depan sdn 113 banjarsari, ada homeless yang tetap berada di atas jpo dan membuat jpo kotor karena sampah.
saya menyadari sejak jpo dipasang lampu penerangan kemudian ada homeless yang terus stay di situ.
mohon ditinjaklanjuti karena saya merasa takut dan ga nyaman ketika jalan sendirian menyeberang pakai jpo.

terimakasih","  LAINNYA TERKAIT KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT |   LAPORAN 1 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pengaduan-homeless-202508211747191755773239264,3,2,6
Saluran Air Penuh Sampah Dan Bau,"Saluran air di belakang rumah saya sangat penuh sampah dan bau, baunya sampai masuk ke rumah dang sangat menganggu pernapasan, bau diduga karena sampah yang menumpuk dan dari limbah tahu cibuntu tolong diselesaikan.

lokasi: , jl. sumber endah ii, babakan ciparay, kec. babakan ciparay, kota bandung, jawa barat 40223",PENGELOLAAN SAMPAH |   LAPORAN 17 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/saluran-air-penuh-sampah-dan-bau-202510251241031761370863933,2,2,4
Rumah Dilempar Batu Oleh Anak2,"Saya warga rt01rw12 kelurahan dago kecamatan coblong kota bandung, hendak melaporkan kenakalan anak2 dari kampung manteos yg selalu melempari rumah saya dgn batu, genteng, batang pohon dll. saya melarang anak2 main layangan di lapangan garasi krn banyak kabel, krn setiap kali hrs panggil pln, internet dll utk perbaikan krn benang layangan. krn itu anak2 tsb membalas dgn melempari rumah saya. modusnya antara asar dan magrib. hal ini sangat mengganggu keamanan dan kenyamanan saya dan warga rt01. mohon ditindaklanjuti utk keamanan/linmas/siskamling agar berfungsi lagi. saya sdh info ke ketua rt 01 dan ketua rw12 tp blm ada info lbh lanjut terkait insiden ini.","  LAINNYA TERKAIT KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/rumah-dilempar-batu-oleh-anak2-202509291759351759143575885,1,3,3
Pipa Pdam Bocor,"Nama lengkap : nursyawal
no. kontak : 087832226568
email : bodor.pizan@gmail.com

ini data yg biasa diminta pdam. no langganan : 00104400395 nama: nursyaf alamat lengkap : jl. surapati 101/144c cihaurgeulis kota bandung (rumah kosong) no telepon : 08122030037 keluhan: kami hendak melaporkan adanya pipa pdam yang bocor di dalam persil sesuai alamat di atas, dekat pagar rumah (rumah ini rumah orang tua pelapor yang tidak ada penghuninya lagi, tapi ada penyewa lahan garasi mobil saja). sudah lebih dari seminggu bocor. kami kira tadinya itu genangan air hujan. tapi kok ga kering2. lalu kami gali tanahnya. kami sudah coba tambal, tapi nampaknya tidak cukup kuat menahan tekanan air jadi tetap keluar air.. sayang sekali air terbuang percuma. alamat dekat pusdai. minggu lalu sudah lapor langsung ke nomor aduan pdam kota bandung namun belum ada tindak lanjut. jadi saya lapor ke sini.

kabupaten / kota : kota bandung
kecamatan : cibeunying kaler
kelurahan : cihaur geulis
detail lokasi kejadian : rumah kosong jadi hub pelapor jika mau ke lokasi

nama instansi : biro badan usaha milik daerah, investasi dan administrasi pembangunan
pemda penanggungjawab : kota bandung","  KAMIS, 2026/04/23 |   LAINNYA TERKAIT INFRASTRUKTUR PENDUKUNG |   LAPORAN 7 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pipa-pdam-bocor-202604281504531777363493611,1,2,2
