final_text,label
pertanyaan pembuatan ktp online saya mau buat ktp baru tapi layanan sedang tidak tersedia di silasidakep kira kira kapan layanan bisa digunakan,LOW
permintaan konfirmasi dari wartawan media masa radar sumedang rs an tribuana terkait tindaklanjut terhadap warga terdampak bencana longsor di desa cisalak kecamatan cisarua kabupaten sumedang minta konfirmasi sampai sejauh mana tindaklanjut dari pemerintah kecamatan cisarua terhadap warga terdampak bencana longsor di desa cisalak kecamatan cisarua kabupaten sumedang,LOW
tidak adanya dokter pengganti saat dokter spesialis cuti hari kerja kronologi kejadian tanggal desember pukul wib pasien datang ke igd membawa hasil rontgen dari rs pakuwon alasan pindah dari rs pakuwon ke rsud sumedang karena dari orthopedi di rs pakuwon tidak ada sebelumnya pasien pernah dibawa ke ahli tulang tidak dilakukan tindakan apa apa oleh ahli tulang hanya dioles minyak dan dibungkus plastik wrap kondisi dari hasil rontgen tangan patah ada dokter laki laki yang jaga pagi di igd sangat tidak humanis berkata yang menyakiti hati pasien dan keluarga pasien tidak ada kode etik ari geus dibawa ka dokter kampung geus buruk karek dibawa kadieu kondisi pasien ada luka dalam kenapa tidak direkomendasikan dulu ke dokter bedah ada pembiaran merujuk ke mal praktek pasien datang ke igd dengan jaminan bpjs keluarga pasien meminta di rujuk ke rs di bandung ditolak igd tidak diberi rujukan lalu keluarga pasien meminta pasien dirujuk ke rs al islam sebagai pasien umum disurat rujukan hanya tertulis pasien jatuh sudah berobat ke dokter kampung tidak ada catatan dari spesialis orthopedi cuti rujukan tidak diterima oleh rs al islam disuruh pulang rujukan tidak jelas keluarga pasien diarahkan untuk berobat ke poli orthopedi pada tanggal desember dari spesialis ortopedi masih cuti sampai tanggal desember pasien berobat ke poli orthopedi tanpa diberi obat keluarga pasien yang meminta obat kepada dokter yang periksa pasien di rujuk ke rs al islam di rs bandung bertanya kenapa baru dirujuk sekarang jadi tidak mau ambil resiko ambil tindakanpengaduan keluraga pasien indikasi ada pelanggaran secara administrasi terkait sop kalau ada dokter spesialis cuti lebih dari hari harus ada dokter pengganti ini cuti hari kerja tidak ada dokter pengganti pelayanan igd tidak humanis ada kata kata yang tidak enak dari dokter jaga igd yang dinas pagi punten kaji lagi untuk diagnosanya seandainya masih bisa ditangani di rsud sumedang lebih baik jangan sampai rs yang lain jadi ada masalah kedepannya,HIGH
progress realisasi kawasan industri ijin kalau boleh tau peta kawasan industri yang akan segera terealisasikan wilayah mana aja ya,LOW
tpt halaman rumah ambruk akibat intensitas hujan lebat um at april pkl wiblokasi dusun cibawang rukun tetangga rukun warga desa sukasirnarasa kec rancakalongpada hari jumat april pukul wib cuaca extreme hujan dengan intensitas tinggi mengakibatkan tpt halaman rumah longsor panjang meter dan tinggi meter,HIGH
jatinangor darurat sampah mohon bantuan untuk pembersihan sampah berdasarkan laporan warga perumahan jatinangor city park janaty park desa cibeusi kecamatan jatinangor banyak warga yang mengeluhkan asap akibat pembakaran sampah oleh pihak yang tidak bertanggung jawab sehingga menyebabkan kesehatan terganggu asap sisa pembakaran sampah telah menyebabkan kesehatan masyarakat terganggu seperti batuk batuk dan sesak napas sampah yang dibakar berasal dari tumpukan sampah yang dibuang orang tidak bertanggung jawab di sekitar janaty park dari hasil pemantauan terdapat beberapa orang yang membuang sampah yang berasal dari tempat yang jauh dan sengaja membuang sampah di janaty park hal ini antara lain disebabkan banyaknya akses atau jalan tikus menuju perumahan janaty park sehingga sulit untuk mencegah orang membuang sampah di sekitar janaty park menindaklanjuti hal tersebut warga rukun warga bersama pihak desa cibeusi dan pt koryza selaku pengembang perumahan janaty park telah melakukan kerja bakti sebanyak kali untuk membersihkan tumpukan sampah tersebut bahkan pada kerja bakti yang kedua warga juga telah bekerja sama dengan sekitar orang mahasiswa itb untuk membersihkan sampah namun setelah bersih masyarakat tetap membuang dan membakar sampah sembarangan warga telah mencurahkan tenaga waktu dan dana untuk membersihkan sampah tersebut namun hasilnya sia sia karena masyarakat tetap membuang dan membakar sampah sembarangan untuk itu dimohon bantuan kepada pemerintah dan pihak pihak terkait untuk mendorong pt koryza selaku developer untuk segera menutup akses akses jalan atau jalan tikus yang sering dijadikan akses jalan bagi warga sekitar untuk membuang dan membakar sampah sembarangan memohon bantuan kepada dinas lingkungan hidup untuk a membantu membersihkan sampah dilokasi yang sering dijadikan tempat pembuangan dan pembakaran sampah b mengedukasi masyarakat di lingkungan rukun warga rukun warga dan rukun warga desa cibeusi dan sekitarnya agar tidak membuang sampah sembarangan c mendorong pihak desa cibeusi untuk segera menyusun dan menerapkan pengelolaan sampah di lingkungan desa cibeusi karena statusnya sudah darurat sampah d mendorong pt koryza selaku pengembang perumahan untuk tidak membakar sampah di lingkungan koryza selama ini pengelolaan sampah oleh pt koryza adalah dibakar dilahan kosong milik koryza,HIGH
permohonan informasi terkait isu strategis rpjmd assalamualaikum selamat pagi izin bapak ibu admin saya dari bappeda kabupaten garut mau menanyakan terkait isu strategis dalam ranperda rpjmd kabupaten sumedang barangkali dapat di share untuk kepentingan dalam dokumen rpjmd kami dalam hal telaah terhadap isu strategis daerah berbatasan hatur nuhun sebelumnya,LOW
longsor telah terjadi longsor tebing di dusun cikuray desa sukasirnarasa pada tanggal oktober,HIGH
kerumitan dan ketidakjelasaan pelayanan pendaftaran bphtb di bapenda kabupaten sumedang pada senin maret saya datang ke kantor bapenda kabupaten sumedang dengan maksud untuk mengurus bphtb waris namun ternyata menurut petugas yang bernama bpk dendi pelayanan bphtb hanya bisa dilakukan secara online dan petugas tsb mengarahkan saya untuk mengurus melalui ppat wilayah sumedang karena yang memiliki akun untuk akses pengurusan bphtb online hanya ppat kemudian pada hari itu juga saya menghadap ke ppat dedeh dan sayamenyampaikan hendak menguris bphtb waris namun beliau menginformasikan untuk pengurusan bphtb waris harus ke kantor bapenda kabupaten sumedang langsung dengan alasan karena saya mengajukan melalui perorangan dan tidak ada hubungan dengan ppat masih di hari yang sama saya kembali ke kantor bapenda kabupaten sumedang dan menemui petugas yang sama yang melayani saya pada awal cerita saya menyampaikan uraian pada poin diatas dan kemudian petugas tsb menyarankan untuk ke kantor camat terkait lokasi objek selaku ppats dan disebut memiliki kewenangan pengurusan bphtb masih pada hari tsb saya datang ke kantor kecamatan pamulihan kabupaten sumedang dan saya menyampaikan kepada petugas kecamatan tsb hendak mengurus bphtb namun menurut petugas tsb kecamatan tidak berwenang mengurus bphtb alias tidak bisa hari selanjutnya saya mencoba mendatangi ppat lain dan mendapatkan informasi bahwa saya harus mengkonsultasikan kembali ke kantor bapenda kabupaten sumedang poin yang saya ingin sampaikan adalah bahwa dalam pelayanan di kantor bapenda kabupaten sumedang sangat rumit berbelit belit tidak jelas dan menunjukkan bahwa instansi tersebut tidak melakukan koordinasi kpd pihak terkait mengenai penerapan sistem bphtb tersebut hal ini jelas membuang waktu tenaga dan pikiran saya secara percuma sehingga sudah sewajarnya saya mengajukan pengaduan ini agar dapat ditindak lanjuti segera adapun yang saya harapkan adalah kemudahan dalam proses pelayanan publik di kemudian hari di wilayah manapun senin april kpd bpk dendi yang sudah memberikan penjelasan perihal bphtb online bahwa seharusnya ppat wilayah sumedang wajib membantu pendaftaran bphtb tsb dan saya dapat mengerti kondisi dan aturan tersebut namun sebagai masukan tambahan seharusnya bukan hanya ppat yang diberikan kewenangan tsb karena setelah saya telusuri lebih lanjut terdapat beberapa ppat yang menolak secara halus permohonan pendaftaran bphtb dengan berbagai alasan seharusnya pemohon perorangan juga dapat diberikan akses untuk mendaftar langsung agar mempermudah hal seperti ini kedepannya sehingga sistem tsb dapat memberikan manfaat juga bagi masyarakat umum dan selanjutnya semoga pembuat kebijakan tsb mau mengevaluasi secara komperhensif dan mau mempertimbangkan masukan ini,LOW
monyet liar sangat mengganggu warga dan juga mengganggu siswa tk ketika saat belajar desember lokasi jalan setiabudhi dalam no rukun tetangga rukun warga ledeng kec cidadap kota bandung belakang mesjid jami ar rahman kehadiran monyet liar di lingkungan pemukiman telah menjadi sumber gangguan yang sangat serius dan meresahkan bagi warga serta menimbulkan kekhawatiran besar terhadap keselamatan dan kenyamanan khususnya bagi anak anak usia tk dampak buruk terhadap warga monyet monyet ini secara rutin memasuki area perumahan dan menimbulkan berbagai masalah di antaranya pencurian makanan monyet monyet ini berani masuk ke dapur teras atau warung untuk mengambil dan merusak bahan makanan membuat warga mengalami kerugian materi perusakan properti mereka seringkali merusak atap rumah tanaman hias jemuran pakaian dan bahkan membuang sampah sembarangan setelah mengacak acak tempat sampah ancaman keamanan sifat agresif monyet terutama saat merasa terancam atau kelaparan berpotensi menggigit atau menyerang warga yang menimbulkan ketakutan khususnya pada anak anak kecil dan lansia gangguan terhadap siswa taman kanak kanak tk situasi ini menjadi lebih kritis di sekitar area sekolah tk kehadiran monyet liar sangat mengganggu proses belajar mengajar dan menciptakan lingkungan yang tidak kondusif mengalihkan perhatian kemunculan monyet di luar atau bahkan di area sekolah secara langsung mengalihkan fokus dan perhatian siswa tk yang sedang belajar menimbulkan ketakutan anak anak usia dini seringkali takut dan menangis melihat monyet yang besar dan agresif yang secara psikologis mengganggu kenyamanan mereka saat berada di sekolah ancaman di jam istirahat monyet dapat menyerang atau mencuri bekal makanan siswa saat jam istirahat yang memaksa guru harus ekstra waspada dan membatasi aktivitas bermain di luar ruangan kesimpulan diperlukan tindakan cepat dan terpadu dari pihak berwenang bersama dengan kesadaran warga untuk mengelola populasi monyet liar ini tujuan utamanya adalah mengembalikan rasa aman dan menjamin lingkungan yang tenang bagi warga serta memastikan siswa tk dapat belajar dalam suasana yang aman nyaman dan bebas dari rasa takut,HIGH
jalan berlubang akibat jalan ambrol di jalan gudang utara depan kodim mengakibatkan akses jalan macet,HIGH
parkir liar masjid ad da wah jalan sidomukti tolong tertibkan tukang parkir liar didepan masjid ad da wah d jalan sidomukti sangat menggangu dan meresahkan beberapa kai tukang parkir ini sedikit memaksa dengan bahasa buat makan buat sedekah saya sendiri jujur merasa terganggu dan tidak nyaman jika sholat d masjid tersebut apalagi kantor saya juga dekat daerah sana juga tolong ini jadi kebiasaan yang kurang baik toh klo tidak dikasih jangan ada bahasa atau kata sedekah buat makan ini terkesan mengemis dkm nya sendiri ini bagaimana lokasi masid ad da wah jalan sidomukti no sukaluyu sukaluyu cibeunying kaler kota bandung jawa barat,MEDIUM
ketua rukun tetangga rukun warga kel sadang serang kec coblong tolong di ganti ketua rukun tetangga rukun warga kel sadang serang kec coblong ini rukun tetangga udah tidak bener bapak deden ini tidak bisa ngejalanin tugasnya sebagai rukun tetangga tolong di tindak dan di ganti setiap kali di minta tanda tangan atau keperluan untuk tidak ada di tempat buat apa di pertahankan klo attitude nya saja jelek dan sebagai rukun tetangga bapak deden ini tidak jujur semenjak nikah lagi samaistri barunya banyak tuga sebagai rukun tetangga terbengkalai keluarga nyasaja tidak ter urus apalagi warganya,LOW
permohonan penebangan pohon bapak kepala dinas perumahan dan kawan permukiman kota bandung laporan dan keluhan dari warga rukun tetangga rukun warga kelurahan cigadung mengenai pohon yang tumbuh di tembok rumah dan telah mengakar kedalam tembok sehingga menyebabkan keretakan dan kebocoran bersama ini kami teruskan permohonan warga tersebut untuk dapat ditindaklanjuti sebagaimana mestinya adapun lokasi pohon yang dimaksud berada di jalan cigadung raya tengah no titik koordinat hitps shorttel al ovgb mengingat kondisi pohon yang berpotensi menimbulkan kerusakan lebih parah apabila patah atau roboh demikian kami sampaikan kami mohon kiranya bapak kepala dinas perumahan dan kawasan permukiman kota bandung dapat menindaklanjuti permohonan yang dimaksud atas perhatian dan kerja samanya kami ucapkan,MEDIUM
laporan untuk dlhk saya tinggal di area cipada tepatnya sebrang parkiran rsud cipada saya simpan sampah didepan rumah seperti biasa pada hari senin pukul lalu sampai sekarang hari selasa malem sampah saya gada yang angkut padahal petugas ada x balikan ke area tersebut al hasil sampah saya jadi berantakan entah sama kucing pemulung lalu didepan pager saya sering banyak orang yang buang sampah sembarangan tetapi setiap pagi tidak pernah di bersihkan sama petugas kebersihan tetangga saya malah sampe harus ngasih uang agar area depan rumahnya di bersihkan oleh petugas itu kan sudah pungli sedangkan kita setiap bulan bayar iuran padahal yang tinggal di area jalur tengah selalu dibersihkan sampe trotoar pun di bersihkan setiap pagi kenapa yang area belakang tidak di bersihkan juga gak adil dong bapak,MEDIUM
tpt ambruk encana tpt rumah sepanjang meter tinggi meter menimpa rumah edo umur tahun tpt yang longsor atas nama ajat umur tahun alamat dusun cimacan rukun tetangga rukun warga desa kec rancakalong tidak ada korban jiwa kronologi kejadian akibat hujan besar tpt tidak bisa menahan beban karena kondinya sudah lapuk,HIGH
mohon di bangun jalan desa karena sudah lebih dari tahun tidak di lakukan pembangunan perbaikan dengan ini saya perwakilan warga dusun kebon kopi rukun tetangga desa sukaraja kecamatan cibugel kabupaten sumedang ingin menyampaikan keluhan masyarakat tentang tidak layaknya jalan desa yang kami tempati sehubungan dengan ini kami meminta kepada pihak terkait untuk segera membangun memperbaiki jalan desa yang kami tempati karena jalan sangat tidak layak dan sudah hampir tahun tidak tersentuh pembangunan dengan dibangunya diperbaikinya jalan desa yang kami tempati harapanya dapat memperlancar laju ekonomi dan menambah ketertataan desa yang kami tinggali demikian aspirasi kami terimakasih dari kami warga dusun kebin kopi,MEDIUM
perbaikan jalan rusak selamat pagi siang malam yth admin layanan aspirasi dan pengaduan online rakyat saya seorang perempuan dan saya pengguna kendaraan bermotor saya ingin menyampaikan aspirasi sebagai berikut di dekat rumah saya terdapat jalanan rusak yang sudah lama tidak diperbaiki entah apa yang membuat jalanan ini seperti tidak diperhatikan oleh pihak yang berwenang sehingga jalanan yang sudah rusak kian lama tidak diperbaiki akhirnya menjadi semakin rusak sebagai pengendara saya khawatir jalanan yang rusak ini akan memakan korban seiring berjalannya waktu karena tidak sedikit kasus pengendara yang jatuh akibat kondisi jalan yang rusak maka dari itu tujuan saya menuliskan aspirasi disini untuk menginformasikan kabar ini dan saya harap jalan rusak ini bisa segera diperbaiki adapun lokasi jalan ini terletak di daerah susugan yang menghubungkan darangdan kec sumedang selatan dengan padasuka kec sumedang utara terimakasih atas perhatiannya saya harap aspirasi yang saya ajukan ini dapat segera ditangani oleh pihak berwenang,HIGH
penyimpangan saya ingin melaporkan bahwa d smpn darmaraja kabupaten sumedang jawa barat ada kegiatan oknum guru olagraga yang tiap bulannya mengagendakan kegiatan renang saya selaku orang tua murid merasa keberatan akan adanya kegiatan setiap satu bulan sekali karna oknum guru ini telah menfaatkan kegiatan tersebut dengan mengambil keuntung persiswanya mohon bapak ibu menanggapi laporan saya,LOW
permintaan perbaikan jalan disini saya sebagai salah satu warga lokal ingin menyampaikan bahwa di desa kami terdapat jalan umum yang sudah lebih dari tahun tidak pernah di perbaiki jalan nya licin karna tanah merah dan bebatuan dan sering memakan korban kami mohon perbaikan di jalan kami di segerakan karena kami membayar pajak alamat jalan cileutik desa gunung manik kec tanjungsari kab sumedang jawa barat,MEDIUM
pengaduan pasien melalui google review dan whatsapp pengaduan tgl november nama lengkap raka eki febrian nomor hp pekerjaan perawat kelurahan desa desa margamekar kecamatan sumedang selatan kabupaten kota sumedangdetail pertanyaan lengkap pelayanan kinerja pekerja rumah sakit terhadap pasien untuk ct scan kepala tanpa kontars apa memang harus di jadwalkan jam tertentu dan tidak bisa cito tindakan kenapa harus keluarga pasien yang meminta konsul ke dokter bukannya dokter jaga igd dan perawat yang menangani peratama kali saat pasien tiba di igd kenapa keluarga pasien yang meminta untuk operasi bukannya dokter atau perawat yanh konsul ke spesialistnya tentang keaadaan pasien alasan di tolak icu karena penolakan tindakan operasi tapi di lihat kondisi pasien dari hasil observasi emmang tidak bisa masuk icu syarat masuk icu emang harus apa operasi saja jangan selalu memyalahkan keliarga pasien karena minim pengetahuan tentang kesehatan tapi coba dari tutur kata untuk penyampaian harus bisa menjelaskan dengan enak jangan men judge kematian seseorang dari keadaan pasien tapi optimalkan tindakan yang ada jangan suka memilah pasien karena bpjs nya dari pemerintah tolong untuk pihak nakes anda bekerja dengan sumpah anda yang anda terima sebelum anda siap bekerjaterimakasihsaya menegluh di sini supaya kedepannya tidak ada korban lagi yang di alami keluarga saya sekarang percuma ada fasilitas pengaduan kalau hanya fasilitas dan tidak di gunakan pengaduan ada demi kepentingan rumah sakit dan pasien kedepannya terimakasih,HIGH
tetangga rutin membakar sampah tetangga saya di jalan rana kota bandung kecamatan lengkong kelurahan cikawao rutin melakukan pembakaran sampah sudah ditegur berkali kali karena saya baru mempunya bayi di rumah dan polusi asap memenuhi masuk ke dalam runah saya namun masih melakukan tindakan serupa saya sudah memvideokan perihal hal ini mohon bantuannya karena pihak yang bersangkutan tidak mengindahkan dan tetap melakukan hal yang sama,MEDIUM
informasi layanan kesehatan hewan maaf mau tanya biaya pengobatan hewan,LOW
perbaikan fasilitas di sport centre cigugur sumedang yth bapak bupati sumedang saya salah seorang pengguna fasilitas sport centre cigugur sumedang yang rutin berolahraga disana setiap kali sd setiap minggunya kondisi fasilitas olahraga disana sangat mengkhawatirkan ketika musim hujan jogging track becek kadang air pun menggenang rumput² tumbuh tinggi dan subur dimana² tidak ada tempat sampah kotor fasilitas toilet tidak refresentatif dan ketika musim panas jogging track kering kebull bapak mohon kiranya dapat menjadi prioritas kebijakan dalam pembangunan sumedang tidak hanya penambahan aksesnya saja ke cigugur namun untuk infrastruktur didalamnya pun diperhatikan salam sehat untuk bapak dan jajaran pemda sumedang,LOW
